#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
SnAs,49.014,-0.056,0.001,1.96,4,7.344,2875,505.08,1.45,0.83,2.18,5,9.81,887,1090,1.15,0.66
SnSe,55.785,-0.429,0.119,1.96,4,7.344,2875,505.08,1.45,0.83,2.55,6,9.752,958,494,1.15,1.013333333
SnTe,66.067,-0.285,0.043,1.96,4,7.344,2875,505.08,1.45,0.83,2.1,6,9.009,1261,722.66,1.4,1.293333333
HgS,43.471,-0.284,0.001,2,2,10.437,629.88,234.32,1.5,1.245,2.58,6,10.36,717.87,388.36,1,0.88
HgSe,49.011,-0.049,0.001,2,2,10.437,629.88,234.32,1.5,1.245,2.55,6,9.752,958,494,1.15,1.013333333
HgTe,58.272,-0.016,0.001,2,2,10.437,629.88,234.32,1.5,1.245,2.1,6,9.009,1261,722.66,1.4,1.293333333
GeC,21.106,1.271,0.001,2.01,4,7.899,3093,1211.4,1.25,0.77,2.55,4,11.26,4300,3800,0.7,0.3
GeSe,45.468,-0.211,0.058,2.01,4,7.899,3093,1211.4,1.25,0.77,2.55,6,9.752,958,494,1.15,1.013333333
BiSe,58.44,-0.158,0.001,2.02,3,7.289,1837,544.4,1.6,1.035,2.55,6,9.752,958,494,1.15,1.013333333
BiTe,68.867,-0.069,0.001,2.02,3,7.289,1837,544.4,1.6,1.035,2.1,6,9.009,1261,722.66,1.4,1.293333333
MoC,21.052,0.225,0.001,2.16,6,7.099,4912,2896,1.45,0.775,2.55,4,11.26,4300,3800,0.7,0.3
MoN,20.677,-0.148,0.001,2.16,6,7.099,4912,2896,1.45,0.775,3.04,5,14.534,77.36,63.05,0.65,0.63
MoP,30.492,0.023,0.001,2.16,6,7.099,4912,2896,1.45,0.775,2.19,5,10.486,550,317.3,1,0.55
RuC,20.18,0.906,0.001,2.2,4,7.37,4423,2607,1.3,0.661,2.55,4,11.26,4300,3800,0.7,0.3
RuN,20.365,0.735,0.001,2.2,4,7.37,4423,2607,1.3,0.661,3.04,5,14.534,77.36,63.05,0.65,0.63
OsC,20.751,1.387,0.001,2.2,4,8.7,5285,3306,1.3,0.673,2.55,4,11.26,4300,3800,0.7,0.3
OsN,20.82,1.365,0.001,2.2,4,8.7,5285,3306,1.3,0.673,3.04,5,14.534,77.36,63.05,0.65,0.63
