#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
ErAs,48.144,-1.512,0.001,1.24,3,6.101,3141,1802,1.75,1.03,2.18,5,9.81,887,1090,1.15,0.66
ErSe,46.514,-1.686,0.001,1.24,3,6.101,3141,1802,1.75,1.03,2.55,6,9.752,958,494,1.15,1.013333333
ErTe,56.995,-1.205,0.001,1.24,3,6.101,3141,1802,1.75,1.03,2.1,6,9.009,1261,722.66,1.4,1.293333333
TmN,27.862,-2.012,0.157,1.25,3,6.184,2223,1818,1.75,1.095,3.04,5,14.534,77.36,63.05,0.65,0.63
TmP,43.584,-1.605,0.001,1.25,3,6.184,2223,1818,1.75,1.095,2.19,5,10.486,550,317.3,1,0.55
TmS,40.062,-2.257,0.001,1.25,3,6.184,2223,1818,1.75,1.095,2.58,6,10.36,717.87,388.36,1,0.88
TmAs,47.551,-1.497,0.001,1.25,3,6.184,2223,1818,1.75,1.095,2.18,5,9.81,887,1090,1.15,0.66
TmSe,45.782,-1.65,0.001,1.25,3,6.184,2223,1818,1.75,1.095,2.55,6,9.752,958,494,1.15,1.013333333
TmTe,56.274,-1.161,0.001,1.25,3,6.184,2223,1818,1.75,1.095,2.1,6,9.009,1261,722.66,1.4,1.293333333
LuN,26.904,-2.067,0.236,1.27,3,5.4259,3675,1925,1.75,1.001,3.04,5,14.534,77.36,63.05,0.65,0.63
LuP,42.524,-1.587,0.001,1.27,3,5.4259,3675,1925,1.75,1.001,2.19,5,10.486,550,317.3,1,0.55
LuS,39.029,-2.205,0.001,1.27,3,5.4259,3675,1925,1.75,1.001,2.58,6,10.36,717.87,388.36,1,0.88
LuAs,46.467,-1.467,0.001,1.27,3,5.4259,3675,1925,1.75,1.001,2.18,5,9.81,887,1090,1.15,0.66
LuSe,44.779,-1.582,0.001,1.27,3,5.4259,3675,1925,1.75,1.001,2.55,6,9.752,958,494,1.15,1.013333333
LuTe,55.232,-1.085,0.001,1.27,3,5.4259,3675,1925,1.75,1.001,2.1,6,9.009,1261,722.66,1.4,1.293333333
HfB,28.306,-0.42,0.001,1.3,4,6.65,4876,2506,1.55,0.85,2.04,3,8.298,4200,2349,0.85,0.41
HfC,25.157,-0.942,0.001,1.3,4,6.65,4876,2506,1.55,0.85,2.55,4,11.26,4300,3800,0.7,0.3
HfN,23.359,-1.94,0.001,1.3,4,6.65,4876,2506,1.55,0.85,3.04,5,14.534,77.36,63.05,0.65,0.63
MgO,19.279,-3.071,4.445,1.31,2,7.646,1363,923,1.5,0.86,3.44,6,13.618,90.2,54.8,0.6,1.26
MgS,35.743,-1.765,2.763,1.31,2,7.646,1363,923,1.5,0.86,2.58,6,10.36,717.87,388.36,1,0.88
MgSe,41.842,-1.241,1.765,1.31,2,7.646,1363,923,1.5,0.86,2.55,6,9.752,958,494,1.15,1.013333333
MgTe,53.439,-0.816,0.434,1.31,2,7.646,1363,923,1.5,0.86,2.1,6,9.009,1261,722.66,1.4,1.293333333
ZrB,29.64,-0.376,0.001,1.33,4,6.84,4682,2128,1.55,0.86,2.04,3,8.298,4200,2349,0.85,0.41
ZrC,26.361,-0.807,0.001,1.33,4,6.84,4682,2128,1.55,0.86,2.55,4,11.26,4300,3800,0.7,0.3
ZrN,24.615,-1.87,0.001,1.33,4,6.84,4682,2128,1.55,0.86,3.04,5,14.534,77.36,63.05,0.65,0.63
ZrO,24.739,-2.573,0.001,1.33,4,6.84,4682,2128,1.55,0.86,3.44,6,13.618,90.2,54.8,0.6,1.26
ZrP,37.234,-1.334,0.001,1.33,4,6.84,4682,2128,1.55,0.86,2.19,5,10.486,550,317.3,1,0.55
ZrS,36.114,-1.677,0.001,1.33,4,6.84,4682,2128,1.55,0.86,2.58,6,10.36,717.87,388.36,1,0.88
ZrAs,41.169,-1.075,0.001,1.33,4,6.84,4682,2128,1.55,0.86,2.18,5,9.81,887,1090,1.15,0.66
ScC,25.72,-0.141,0.001,1.36,3,6.54,3103,1814,1.6,0.885,2.55,4,11.26,4300,3800,0.7,0.3
ScN,23.06,-2.106,0.001,1.36,3,6.54,3103,1814,1.6,0.885,3.04,5,14.534,77.36,63.05,0.65,0.63
ScO,22.476,-3.249,0.001,1.36,3,6.54,3103,1814,1.6,0.885,3.44,6,13.618,90.2,54.8,0.6,1.26
ScP,37.577,-1.495,0.001,1.36,3,6.54,3103,1814,1.6,0.885,2.19,5,10.486,550,317.3,1,0.55
ScS,35.593,-2.204,0.001,1.36,3,6.54,3103,1814,1.6,0.885,2.58,6,10.36,717.87,388.36,1,0.88
ScAs,41.357,-1.374,0.001,1.36,3,6.54,3103,1814,1.6,0.885,2.18,5,9.81,887,1090,1.15,0.66
ScSe,41.136,-1.592,0.001,1.36,3,6.54,3103,1814,1.6,0.885,2.55,6,9.752,958,494,1.15,1.013333333
TaC,22.51,-0.579,0.001,1.5,5,7.89,5731,3290,1.45,0.82,2.55,4,11.26,4300,3800,0.7,0.3
TaN,21.627,-1.039,0.001,1.5,5,7.89,5731,3290,1.45,0.82,3.04,5,14.534,77.36,63.05,0.65,0.63
TaO,22.892,-1.244,0.001,1.5,5,7.89,5731,3290,1.45,0.82,3.44,6,13.618,90.2,54.8,0.6,1.26
TiC,20.375,-0.807,0.001,1.54,4,6.82,3560,1941,1.4,0.851666667,2.55,4,11.26,4300,3800,0.7,0.3
MnN,17.706,-0.39,0.001,1.55,7,7.435,2334,1519,1.4,0.8775,3.04,5,14.534,77.36,63.05,0.65,0.63
MnO,23.011,-1.967,0.55,1.55,7,7.435,2334,1519,1.4,0.8775,3.44,6,13.618,90.2,54.8,0.6,1.26
MnSe,39.601,-0.345,0.001,1.55,7,7.435,2334,1519,1.4,0.8775,2.55,6,9.752,958,494,1.15,1.013333333
MnTe,48.024,-0.038,0.001,1.55,7,7.435,2334,1519,1.4,0.8775,2.1,6,9.009,1261,722.66,1.4,1.293333333
BeO,12.149,-2.64,8.168,1.57,2,9.322,2742,1560,1.05,0.59,3.44,6,13.618,90.2,54.8,0.6,1.26
BeSe,29.849,-0.257,0.001,1.57,2,9.322,2742,1560,1.05,0.59,2.55,6,9.752,958,494,1.15,1.013333333
